,time,cycleSlipratio,average CN0,average Elevation,vis satellite number,hDop,pDop,ValidLNum,aveEleOfValid,scene
0,60610.0,0.571429,39.0,0.0,12.0,0.0,0.0,10.0,0.0,other
1,60611.0,0.461538,40.0,0.0,11.0,0.0,0.0,10.0,0.0,other
2,60612.0,0.5,39.0,0.0,12.0,0.0,0.0,10.0,0.0,other
3,60613.0,0.428571,39.0,0.0,12.0,0.0,0.0,10.0,0.0,other
4,60614.0,0.357143,39.0,0.0,12.0,0.0,0.0,10.0,0.0,other
5,60615.0,0.5625,40.0,0.0,13.0,0.0,0.0,12.0,0.0,other
6,60616.0,0.1,38.0,0.0,13.0,2.233029,3.270746,12.0,0.0,other
7,60617.0,0.047619,38.0,51.401894,13.0,10.278855,16.364398,12.0,46.797447,other
8,60618.0,0.0,40.0,51.399477,12.0,10.278855,16.364398,12.0,46.795584,other
9,60619.0,0.0,40.0,51.399477,13.0,10.278855,16.364398,13.0,46.795584,other
10,60620.0,0.0,40.0,51.399477,13.0,10.282743,16.361739,13.0,46.795584,other
11,60621.0,0.0,40.0,49.207534,14.0,10.282743,16.361739,14.0,45.463253,other
12,60622.0,0.0,40.0,49.207534,14.0,10.282743,16.361739,14.0,45.463253,other
13,60623.0,0.0,40.0,49.207534,15.0,10.282743,16.361739,15.0,45.463253,other
14,60624.0,0.0,40.0,49.207534,15.0,10.282743,16.361739,15.0,45.463253,other
15,60625.0,0.037037,40.0,49.207534,16.0,10.282743,16.361739,15.0,45.463253,other
16,60626.0,0.037037,40.0,49.207534,16.0,10.282743,16.361739,15.0,45.463253,other
17,60627.0,0.037037,40.0,49.207534,16.0,10.282743,16.361739,16.0,45.463253,other
18,60628.0,0.035714,40.0,49.207534,17.0,10.282743,16.361739,17.0,45.463253,other
19,60629.0,0.033333,40.0,49.207534,18.0,99.9,99.9,17.0,45.463253,other
20,60630.0,0.064516,40.0,47.567914,18.0,99.9,99.9,18.0,43.886703,other
21,60631.0,0.034483,40.0,47.567914,17.0,99.9,99.9,16.0,48.05894,other
22,60632.0,0.034483,40.0,47.567914,17.0,99.9,99.9,17.0,46.011172,other
23,60633.0,0.037037,40.0,47.567914,16.0,99.9,99.9,16.0,46.011172,other
24,60634.0,0.037037,40.0,47.567914,16.0,8.053881,7.861127,16.0,46.011172,other
25,60635.0,0.133333,38.0,47.562573,19.0,8.053881,7.861127,18.0,47.455457,other
26,60636.0,0.129032,38.0,47.562573,19.0,8.053881,7.861127,18.0,47.455457,other
27,60637.0,0.1,39.0,47.562573,18.0,8.053881,7.861127,18.0,45.573557,other
28,60638.0,0.071429,39.0,47.562573,17.0,8.053881,7.861127,16.0,47.455457,other
29,60639.0,0.033333,38.0,47.562573,18.0,2.060478,2.408343,18.0,43.600227,other
30,60640.0,0.060606,37.0,46.433668,20.0,2.537524,6.099928,19.0,41.66808,other
31,60641.0,0.090909,37.0,47.553875,20.0,1.838686,2.649405,19.0,43.097737,other
32,60642.0,0.058824,37.0,46.934838,20.0,1.416425,2.364511,19.0,41.424674,other
33,60643.0,0.090909,37.0,46.933968,19.0,1.589587,2.508654,17.0,43.337859,other
34,60644.0,0.090909,37.0,46.933107,19.0,1.583242,2.471575,17.0,43.33638,other
35,60645.0,0.096774,38.0,46.932245,18.0,1.583229,2.471273,18.0,43.598033,other
36,60646.0,0.096774,38.0,46.931385,19.0,1.583216,2.470969,17.0,45.238034,other
37,60647.0,0.096774,38.0,46.930524,19.0,1.583204,2.470666,16.0,45.636762,other
38,60648.0,0.096774,38.0,46.929663,19.0,1.583192,2.470363,18.0,43.340444,other
39,60649.0,0.117647,37.0,46.928797,21.0,1.583179,2.47006,19.0,43.596819,other
40,60650.0,0.088235,38.0,47.689815,21.0,1.583167,2.469758,20.0,42.831754,other
41,60651.0,0.058824,38.0,47.689049,21.0,1.583154,2.469455,20.0,42.831183,other
42,60652.0,0.060606,38.0,47.688283,20.0,1.583141,2.469152,19.0,44.485024,other
43,60653.0,0.088235,38.0,47.687517,21.0,1.57916,2.460587,21.0,43.055737,other
44,60654.0,0.111111,37.0,47.700339,23.0,1.579146,2.460292,22.0,43.091529,other
45,60655.0,0.081081,37.0,47.699453,24.0,1.579132,2.459996,22.0,41.570976,other
46,60656.0,0.078947,36.0,48.276373,25.0,1.579118,2.4597,23.0,43.028618,other
47,60657.0,0.026316,37.0,48.816279,24.0,1.565796,2.439272,22.0,43.02809,other
48,60658.0,0.052632,37.0,48.81566,23.0,1.565781,2.438964,20.0,45.809018,other
49,60659.0,0.028571,38.0,48.815038,21.0,1.560134,2.053986,20.0,46.118012,other
50,60700.0,0.105263,37.0,48.814417,24.0,1.509412,1.895669,24.0,44.544265,other
51,60701.0,0.102564,37.0,48.093435,25.0,1.560114,2.053742,24.0,45.088361,other
